,goldDiff - TOP_-56to0,goldDiff - MID_-81to0,goldDiff - ADC_-102to0,goldDiff - SUPP_-21to0,item0 - SUPPR_NoItem,item0 - SUPPB_NoItem,level - TOPB_0to3,level - SUPPR_0to2,level - JGB_0to3,level - MIDB_0to3,level - ADCB_0to2,level - SUPPB_0to2,level - TOPR_0to3,level - JGR_0to3,level - MIDR_0to3,level - ADCR_0to2,minute_0to4,xpDiff - MID_-11to18,xpDiff - ADC_-102to0,wardsPlaced - TOPR
70,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
71,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
72,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
73,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
74,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
75,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
76,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
77,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
78,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
79,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
80,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
81,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
82,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
83,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
84,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
85,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
86,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False
87,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
88,False,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False
89,False,True,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False
90,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
91,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
92,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
93,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
94,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
95,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
96,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
97,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
98,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
99,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
100,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
101,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
102,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
103,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
104,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
105,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
106,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
107,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
108,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
109,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
110,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
111,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
112,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
113,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
114,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
115,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
116,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
117,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
118,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
119,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False
120,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True
121,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False
122,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
123,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False
124,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
125,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
126,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
127,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
128,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
129,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
130,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
131,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
132,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
133,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
134,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
135,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
136,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
137,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
138,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
139,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
140,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
141,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
142,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
143,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
144,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
145,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
146,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
147,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
148,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
149,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
150,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
151,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
152,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
153,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
154,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
155,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
156,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
157,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
158,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
159,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
160,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
161,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
162,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
163,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
164,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
165,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
167,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
168,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
169,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
170,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
171,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False
172,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False
173,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True
174,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
175,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
176,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
177,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
178,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
179,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
180,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
181,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
182,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
183,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
184,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
185,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
186,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
187,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
188,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
189,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
190,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
191,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
192,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
193,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
194,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
195,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
196,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
197,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
198,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
199,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False
200,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
201,False,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True
202,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
203,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True
204,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
205,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
206,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
207,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
208,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
209,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
210,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
211,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
212,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
213,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
214,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
215,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
216,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
217,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
218,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
219,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
220,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
221,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
222,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
223,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
224,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
225,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
226,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
227,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
228,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False
229,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False
230,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False
231,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
232,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
233,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
234,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
235,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
236,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
237,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
238,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
239,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
240,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
241,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
242,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
243,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
244,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
245,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
246,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
247,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
248,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
249,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
250,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
251,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
252,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
253,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
254,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
255,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
256,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
257,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
258,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
259,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
260,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
261,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
262,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
263,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
264,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
266,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
267,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
268,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
269,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
270,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
271,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
272,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
273,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
274,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
275,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
276,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
277,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
278,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
279,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
280,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
281,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
282,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
283,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
284,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
285,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False
286,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False
287,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True
288,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
289,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
290,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
291,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
292,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
293,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
294,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
295,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
296,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
297,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
298,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
299,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
300,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
301,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
302,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
303,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
304,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
305,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
306,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
307,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
308,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
309,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
310,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
311,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
313,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
314,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
315,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
316,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
317,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
318,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
319,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
320,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
