,item0 - SUPPR_NoItem,item0 - JGB_NoItem,item0 - JGB_ControlWard,item1 - JGB_ControlWard,level - JGR_0to3,wardsPlaced - JGB
148,False,True,False,False,False,False
149,False,False,True,False,False,True
150,False,False,True,False,False,False
151,False,True,False,False,False,False
152,False,True,False,False,False,False
153,False,True,False,False,False,False
154,False,False,True,False,False,False
155,False,True,False,False,False,False
156,False,True,False,False,False,False
157,False,False,True,False,False,False
158,False,True,False,False,False,False
159,False,False,True,False,False,True
160,False,False,True,False,False,False
161,False,False,True,False,False,True
162,False,False,True,False,False,False
163,False,True,False,False,False,False
164,False,True,False,False,False,False
165,False,True,False,False,False,True
166,False,False,True,False,False,False
167,False,False,True,False,False,False
168,True,True,False,False,True,True
169,False,True,False,False,False,False
170,False,False,False,False,True,False
171,False,False,False,False,True,False
172,False,False,False,False,True,True
173,False,False,False,False,True,False
174,False,False,False,False,False,True
175,False,False,False,True,False,False
176,False,False,False,False,False,False
177,False,False,False,True,False,True
178,False,False,False,True,False,True
179,False,False,False,False,False,False
180,False,False,True,False,False,False
181,False,False,False,False,False,True
182,False,False,False,True,False,False
183,False,False,False,True,False,True
184,False,False,False,False,False,False
185,False,False,False,False,False,False
186,False,False,False,False,False,True
187,False,False,True,False,False,False
188,False,True,False,False,False,False
189,False,False,True,False,False,False
190,False,False,True,False,False,False
191,False,False,True,False,False,True
192,False,False,True,False,False,False
193,False,True,False,False,False,False
194,False,True,False,False,False,True
195,False,False,True,False,False,False
196,False,False,True,False,False,True
197,False,True,False,False,False,True
198,True,True,False,False,True,False
199,False,False,False,False,True,True
200,False,False,False,False,True,False
201,False,False,False,False,True,False
202,False,False,True,False,False,True
203,False,False,False,False,True,False
204,False,False,False,False,False,False
205,False,False,False,True,False,True
206,False,False,False,False,False,False
207,False,False,False,False,False,True
208,False,False,False,True,False,False
209,False,False,False,True,False,False
210,False,False,False,True,False,True
211,False,False,False,True,False,False
212,False,False,False,True,False,False
213,False,False,True,False,False,False
214,False,False,False,True,False,False
215,False,False,False,True,False,False
216,False,False,False,True,False,False
217,False,False,False,True,False,False
218,False,False,False,True,False,True
219,False,False,False,False,False,False
220,False,False,False,False,False,True
221,False,False,False,True,False,False
222,False,False,False,False,False,True
223,False,False,False,False,False,False
224,False,False,True,False,False,True
225,False,True,False,False,False,False
226,False,False,False,False,False,False
227,True,True,False,False,True,True
228,False,False,False,False,True,False
229,False,False,False,False,True,False
230,False,False,False,False,True,True
231,False,False,False,False,True,False
232,False,False,False,False,False,False
233,False,False,False,False,False,False
234,False,False,False,False,False,True
235,False,False,False,False,False,False
236,False,True,False,False,False,False
237,False,False,False,False,False,False
238,False,False,False,False,False,True
239,False,False,False,False,False,False
240,False,False,False,False,False,False
241,False,False,False,False,False,True
242,False,False,False,False,False,False
243,False,False,False,False,False,False
244,False,False,False,False,False,False
245,False,False,False,False,False,False
246,False,False,False,False,False,True
247,False,True,False,False,False,False
248,False,False,False,False,False,False
249,False,False,False,False,False,False
250,False,False,False,False,False,True
251,False,False,False,False,False,True
252,False,False,False,False,False,False
253,False,False,False,False,False,False
254,False,False,False,False,False,True
255,False,False,False,False,False,False
256,False,False,False,False,False,True
257,False,False,False,False,False,False
258,False,True,False,False,False,False
259,False,False,False,False,False,False
260,False,False,False,False,False,False
261,False,False,False,False,False,False
262,False,False,False,False,False,False
263,False,False,False,False,False,True
264,False,False,False,False,False,False
265,False,False,False,False,False,False
266,False,False,False,False,False,False
267,False,False,False,False,False,True
268,False,False,False,False,False,True
269,False,True,False,False,False,False
270,False,False,False,False,False,False
271,False,False,False,False,False,False
272,False,False,False,False,False,False
273,False,False,False,False,False,True
274,False,False,False,False,False,False
275,False,False,False,False,False,True
276,False,False,False,False,False,False
277,False,False,False,False,False,False
278,False,False,False,False,False,True
279,False,False,False,False,False,True
280,False,True,False,False,False,False
281,False,False,False,False,False,False
282,False,False,False,False,False,True
283,False,False,False,False,False,False
284,True,True,False,False,True,False
285,False,False,False,False,True,False
286,False,False,False,False,True,False
287,False,False,False,False,True,False
288,False,False,False,False,True,True
289,False,False,False,False,False,False
290,False,False,False,False,False,True
291,False,True,False,False,False,True
292,False,False,False,True,False,False
293,False,False,False,True,False,True
294,False,False,False,False,False,False
295,False,False,True,False,False,False
296,False,True,False,False,False,False
297,False,False,True,False,False,True
298,False,False,True,False,False,True
299,False,False,True,False,False,False
300,False,False,True,False,False,True
301,False,False,True,False,False,False
302,False,True,False,False,False,False
303,False,False,True,False,False,False
304,False,False,True,False,False,True
305,False,False,True,False,False,False
306,False,False,True,False,False,False
307,False,True,False,False,False,True
308,False,True,False,False,False,True
309,False,False,True,False,False,False
310,False,True,False,False,False,False
311,False,True,False,False,False,True
312,False,False,True,False,False,False
313,False,False,True,False,False,True
314,False,False,True,False,False,False
315,False,False,True,False,False,True
316,False,True,False,False,False,True
317,False,True,False,False,False,True
318,False,True,False,False,False,False
319,False,False,True,False,False,False
320,False,False,True,False,False,True
321,False,False,True,False,False,True
322,False,True,False,False,False,True
323,False,True,False,False,False,False
324,False,True,False,False,False,True
325,True,True,False,False,True,False
326,False,False,False,False,True,False
327,False,False,False,False,True,True
328,False,False,False,False,True,False
329,False,False,False,False,True,False
330,False,False,False,False,True,False
331,False,False,False,False,False,False
332,False,False,False,False,False,False
333,False,False,False,False,False,True
334,False,False,False,False,False,False
335,False,False,True,False,False,True
336,True,True,False,False,True,False
337,False,False,False,False,False,False
338,False,False,False,False,False,True
339,False,False,False,True,False,True
340,False,False,False,False,False,False
341,False,False,False,False,False,True
342,False,False,False,True,False,False
343,False,False,False,False,False,True
344,False,False,False,False,False,False
345,False,False,False,False,False,False
346,False,False,False,False,False,True
347,False,False,False,False,True,True
348,False,False,False,True,False,False
349,False,False,False,True,False,False
350,False,False,False,False,False,False
351,False,False,False,False,False,False
352,False,False,False,False,False,True
353,False,False,False,True,False,False
354,False,False,False,False,False,True
355,False,False,False,False,False,False
356,True,True,False,False,True,False
357,False,False,False,False,True,True
358,False,False,False,False,True,False
359,False,False,False,False,True,False
360,False,False,False,True,True,False
361,False,False,False,False,True,True
362,False,False,False,False,False,False
363,False,False,True,False,False,False
364,False,False,False,False,False,False
365,False,False,False,False,False,True
366,False,False,False,False,False,False
367,False,False,True,False,False,False
368,False,True,False,False,False,False
369,False,False,False,False,True,False
370,False,True,False,False,False,True
371,False,False,True,False,False,False
372,False,True,False,False,False,False
373,False,True,False,False,False,True
374,False,True,False,False,False,False
375,False,False,True,False,False,True
376,False,True,False,False,False,False
377,False,True,False,False,False,False
378,False,True,False,False,False,False
379,False,False,True,False,False,True
380,False,False,False,False,True,False
381,False,True,False,False,False,True
382,False,True,False,False,False,False
383,False,True,False,False,False,True
384,False,True,False,False,False,False
385,False,False,True,False,False,False
386,False,True,False,False,False,False
387,False,True,False,False,False,False
388,False,True,False,False,False,True
389,False,False,True,False,False,False
390,False,True,False,False,False,True
391,False,False,False,False,True,False
392,False,True,False,False,False,False
393,True,True,False,False,True,False
394,False,False,False,False,True,False
395,False,False,False,False,True,False
396,False,False,False,False,True,True
397,False,False,False,False,True,False
398,False,False,False,False,False,False
399,False,False,False,False,False,False
400,False,False,False,False,False,False
401,False,False,False,True,False,False
402,False,False,False,False,False,False
403,False,False,False,True,False,True
404,False,False,False,True,False,True
405,False,False,False,True,False,False
406,False,False,False,True,False,False
407,False,False,False,True,False,False
408,False,False,False,True,False,True
409,False,False,False,True,False,True
410,False,False,False,True,False,False
411,False,False,False,False,False,True
412,False,True,False,False,False,False
413,False,False,False,True,False,False
414,False,True,False,False,False,True
415,False,True,False,False,False,True
416,False,True,False,False,False,False
417,False,True,False,False,False,True
418,False,True,False,False,False,False
419,False,True,False,False,False,True
420,False,True,False,False,False,True
421,False,True,False,False,False,True
422,False,True,False,False,False,True
423,False,True,False,False,False,False
424,False,False,False,True,False,False
425,False,True,False,False,False,True
426,False,True,False,False,False,False
427,False,True,False,False,False,False
428,False,True,False,False,False,False
429,False,True,False,False,False,False
430,True,True,False,False,True,False
431,False,False,False,False,True,True
432,False,False,False,False,True,False
433,False,False,False,False,True,False
434,False,False,False,False,True,False
435,False,True,False,False,False,True
436,False,False,False,True,False,False
437,False,False,False,False,False,True
438,False,False,False,False,False,False
439,False,False,False,False,False,True
440,False,True,False,False,False,False
441,False,True,False,False,False,False
442,False,False,True,False,False,False
443,False,False,True,False,False,True
444,False,False,True,False,False,False
445,False,False,True,False,False,False
446,False,False,True,False,False,True
447,False,False,True,False,False,False
448,False,False,True,False,False,False
449,False,False,True,False,False,False
450,False,False,True,False,False,False
451,False,False,True,False,False,False
452,False,False,True,False,False,False
453,False,False,True,False,False,True
454,False,True,False,False,False,False
455,False,True,False,False,False,True
456,False,True,False,False,False,False
457,False,False,True,False,False,False
458,False,True,False,False,False,True
459,False,True,False,False,False,False
460,False,False,True,False,False,False
461,False,True,False,False,False,False
462,False,True,False,False,False,False
463,True,True,False,False,True,False
464,False,False,False,False,True,True
465,False,False,False,False,True,True
466,False,False,False,False,True,False
467,False,False,False,False,False,False
468,False,False,False,False,False,False
469,False,False,True,False,False,False
470,False,False,False,False,False,False
471,False,False,False,False,False,False
472,False,False,False,False,False,True
473,False,False,False,False,False,False
474,False,True,False,False,False,True
475,False,False,True,False,False,False
476,False,False,True,False,False,False
477,False,False,True,False,False,False
478,False,False,True,False,False,False
479,False,True,False,False,False,False
480,False,True,False,False,False,False
481,False,False,True,False,False,False
482,False,True,False,False,False,False
483,False,True,False,False,False,True
484,False,True,False,False,False,False
485,False,True,False,False,False,False
486,False,False,True,False,False,False
487,False,False,True,False,False,True
488,False,False,True,False,False,False
489,False,True,False,False,False,True
490,False,True,False,False,False,True
491,False,True,False,False,False,False
492,False,True,False,False,False,True
493,False,True,False,False,False,False
494,False,True,False,False,False,True
495,False,True,False,False,False,False
496,False,True,False,False,False,True
497,False,False,True,False,False,False
498,True,True,False,False,True,True
499,False,False,False,False,True,True
500,False,False,False,False,True,False
501,False,False,False,False,True,False
502,False,True,False,False,False,True
503,False,False,False,True,True,False
504,False,False,False,False,False,True
505,False,False,False,False,False,False
506,False,False,False,False,False,True
507,False,False,False,False,False,False
508,False,False,False,False,False,True
509,False,False,False,False,False,False
510,False,False,False,True,False,False
511,False,False,False,False,False,False
512,False,False,False,False,False,True
513,False,False,True,False,False,False
514,False,False,False,True,False,False
515,False,False,False,False,False,False
516,False,False,False,False,False,True
517,False,False,False,False,False,False
518,False,False,False,False,False,False
519,False,False,False,False,False,False
520,False,False,False,True,False,True
521,False,False,False,True,False,False
522,False,False,False,True,False,False
523,False,False,False,False,False,False
524,False,True,False,False,False,False
525,False,False,False,True,False,False
526,False,False,False,False,False,False
527,False,False,False,False,False,False
528,False,False,False,False,False,False
529,False,False,False,False,False,False
530,False,False,False,True,False,True
531,False,False,False,False,False,False
532,False,False,False,False,False,False
533,False,False,False,False,False,True
534,False,False,False,False,False,False
535,False,False,True,False,False,False
536,False,False,False,True,False,False
537,True,True,False,False,True,False
538,False,False,False,False,True,False
539,False,False,False,False,True,False
540,False,False,False,False,True,False
541,False,False,False,False,True,False
542,False,False,False,False,False,False
543,False,False,False,False,False,True
544,False,False,False,False,False,False
545,False,False,False,False,False,False
546,False,True,False,False,False,False
547,False,False,False,True,False,True
548,False,True,False,False,False,True
549,False,True,False,False,False,False
550,False,True,False,False,False,True
551,False,False,True,False,False,True
552,False,False,True,False,False,False
553,False,True,False,False,False,True
554,False,True,False,False,False,False
555,False,False,True,False,False,True
556,False,True,False,False,False,False
557,False,False,True,False,False,True
558,False,False,True,False,False,False
559,False,True,False,False,False,True
560,False,True,False,False,False,True
561,False,True,False,False,False,False
562,False,False,True,False,False,True
563,False,True,False,False,False,False
564,False,True,False,False,False,True
565,False,True,False,False,False,True
566,False,True,False,False,False,False
567,False,False,True,False,False,True
568,True,True,False,False,True,True
569,False,False,True,False,False,True
570,False,False,False,False,True,False
571,False,False,False,False,True,True
572,False,False,False,False,True,False
573,False,False,False,False,True,False
574,False,False,False,False,False,False
575,False,False,False,False,False,False
576,False,False,False,True,False,False
577,False,False,False,False,False,True
578,False,False,False,False,False,False
579,False,False,False,False,False,False
580,True,True,False,False,True,True
581,True,False,False,False,False,False
582,False,False,False,False,False,True
583,False,False,False,False,False,False
584,True,False,False,True,False,False
585,False,False,False,True,False,True
586,False,False,False,False,False,False
587,True,False,False,True,False,False
588,False,False,False,True,False,True
589,True,False,True,False,False,True
590,True,True,False,False,False,False
591,False,False,False,False,True,True
592,True,True,False,False,False,False
593,True,True,False,False,False,True
594,True,True,False,False,False,False
595,True,True,False,False,False,True
596,True,True,False,False,False,False
597,False,False,True,False,False,True
598,True,False,True,False,False,False
599,True,False,True,False,False,True
600,False,False,True,False,False,True
601,False,True,False,False,False,False
602,False,False,False,False,True,True
603,False,False,True,False,False,False
604,True,False,True,False,False,True
605,True,False,True,False,False,True
606,True,False,True,False,False,False
607,False,False,False,True,False,True
608,False,False,False,True,False,False
609,True,True,False,False,True,False
610,False,False,False,False,True,False
611,False,False,False,False,True,True
612,False,False,False,False,True,False
613,False,False,False,False,True,False
614,False,False,False,False,False,False
615,False,False,False,True,False,True
616,False,False,False,True,False,False
617,False,False,False,True,False,True
618,False,False,False,True,False,False
619,False,False,False,True,False,False
620,False,False,False,False,False,True
621,False,False,False,False,False,True
622,False,False,False,False,False,False
623,False,False,False,True,False,True
624,False,False,False,False,True,False
625,False,False,False,False,False,True
626,False,False,False,False,False,True
627,False,False,False,False,False,False
628,False,False,False,True,False,True
629,False,False,False,False,False,True
630,False,False,False,True,False,True
631,False,False,False,True,False,False
632,False,False,False,False,False,False
633,False,False,False,False,False,False
634,False,False,False,False,False,False
635,False,False,False,True,False,False
636,False,False,False,False,False,False
637,False,False,False,False,False,True
638,False,False,False,True,False,False
639,False,False,False,False,False,True
640,False,False,False,False,False,False
641,False,False,False,False,False,False
642,False,False,False,False,False,True
643,False,False,False,False,False,False
644,False,False,False,False,False,False
645,False,False,False,False,False,True
646,False,False,False,True,False,False
647,False,False,False,False,False,False
648,False,False,False,False,False,False
649,False,False,False,False,False,True
650,False,False,False,True,False,False
651,False,False,False,True,False,False
652,False,False,False,False,False,False
653,False,False,False,True,False,False
654,False,False,False,False,False,False
655,False,False,False,False,False,False
656,True,True,False,False,True,False
657,False,False,False,False,False,True
658,False,False,False,False,True,False
659,False,False,False,False,True,False
660,False,False,False,False,True,True
661,False,False,False,False,True,True
662,False,False,False,True,False,False
663,False,False,False,False,False,False
664,False,False,False,False,False,False
665,False,False,False,False,False,False
666,False,False,False,False,False,True
667,False,False,False,False,False,False
668,False,True,False,False,False,False
669,False,False,False,True,False,True
670,False,False,False,True,False,False
671,False,False,False,True,False,False
672,False,False,False,False,False,False
673,False,False,False,False,False,False
674,False,False,False,True,False,True
675,False,False,False,True,False,False
676,False,False,False,True,False,False
677,False,False,False,True,False,True
678,False,False,False,True,False,True
679,False,False,False,False,False,False
680,False,False,False,True,False,False
681,False,False,False,False,False,True
682,False,False,False,False,False,False
683,False,False,False,True,False,False
684,False,False,False,False,False,False
685,False,False,False,True,False,False
686,False,False,False,False,False,True
687,False,False,False,False,False,False
688,False,False,False,False,False,False
689,True,True,False,False,True,False
690,False,False,False,False,True,False
691,False,False,True,False,False,False
692,False,False,False,False,True,False
693,False,False,False,False,True,True
694,False,False,False,False,False,False
695,False,False,False,True,False,True
696,False,False,False,False,False,False
697,False,False,False,False,False,False
698,False,False,False,False,False,False
699,False,False,False,False,False,False
700,False,True,False,False,False,False
701,False,True,False,False,False,True
702,False,False,True,False,False,False
703,False,True,False,False,False,False
704,False,True,False,False,False,True
705,False,False,True,False,False,False
706,False,False,True,False,False,False
707,False,False,True,False,False,True
708,False,False,True,False,False,False
709,False,False,True,False,False,False
710,False,False,True,False,False,True
711,False,True,False,False,False,False
712,False,True,False,False,False,False
713,False,False,True,False,False,False
714,False,False,True,False,False,True
715,False,False,True,False,False,False
716,False,True,False,False,False,False
717,False,True,False,False,False,False
718,False,True,False,False,False,True
719,False,True,False,False,False,True
720,False,False,True,False,False,False
721,False,False,True,False,False,False
722,False,True,False,False,False,False
723,False,True,False,False,False,False
724,False,True,False,False,False,False
725,False,True,False,False,False,False
726,False,True,False,False,False,True
727,True,True,False,False,True,False
728,False,False,False,False,True,True
729,False,False,False,False,True,False
730,False,False,False,False,True,False
731,False,False,False,False,False,False
732,False,False,False,True,False,True
733,False,False,False,False,False,False
734,False,False,False,False,False,True
735,False,False,True,False,False,True
736,False,False,False,False,False,False
737,False,False,False,False,False,False
738,False,True,False,False,False,True
739,False,False,True,False,False,False
740,False,False,False,False,False,False
741,False,False,False,False,False,True
742,False,False,False,False,False,False
743,False,False,False,True,False,True
744,False,False,False,False,False,False
745,False,False,False,False,False,False
746,False,False,True,False,False,False
747,False,False,False,False,False,True
748,False,False,True,False,False,False
749,False,True,False,False,False,True
750,False,False,True,False,False,True
751,False,True,False,False,False,False
752,False,True,False,False,False,False
753,False,True,False,False,False,False
754,False,False,True,False,False,True
755,False,True,False,False,False,False
756,False,True,False,False,False,False
757,False,True,False,False,False,False
758,False,True,False,False,False,True
759,False,False,True,False,False,False
760,False,False,True,False,False,False
761,False,False,True,False,False,False
762,False,False,True,False,False,False
763,False,True,False,False,False,True
764,False,True,False,False,False,False
765,True,True,False,False,True,True
766,False,False,False,False,True,True
767,False,False,False,False,True,False
768,False,True,False,False,False,False
769,False,False,False,False,True,False
770,False,False,False,False,False,True
771,False,False,False,False,False,True
772,False,False,False,False,False,True
773,False,False,False,False,False,False
774,False,False,False,False,False,False
775,False,False,True,False,False,True
776,False,False,False,False,False,False
777,False,True,False,False,False,True
778,False,True,False,False,False,False
779,False,True,False,False,False,False
780,False,True,False,False,False,False
781,False,True,False,False,False,True
782,False,True,False,False,False,False
783,False,False,True,False,False,False
784,False,True,False,False,False,False
785,False,True,False,False,False,False
786,False,True,False,False,False,False
787,False,False,True,False,False,False
788,False,True,False,False,False,False
789,False,False,True,False,False,False
790,False,True,False,False,False,False
791,False,True,False,False,False,False
792,False,True,False,False,False,False
793,False,False,True,False,False,False
794,False,True,False,False,False,False
795,False,True,False,False,False,False
796,False,True,False,False,False,False
797,False,True,False,False,False,True
798,False,True,False,False,False,False
799,False,True,False,False,False,False
800,False,False,True,False,False,False
801,False,False,True,False,False,False
802,False,True,False,False,False,True
803,False,True,False,False,False,True
804,False,True,False,False,False,False
805,False,True,False,False,False,False
806,False,True,False,False,False,False
807,False,True,False,False,False,False
808,False,False,True,False,False,False
809,False,False,True,False,False,False
810,False,True,False,False,False,False
811,False,False,True,False,False,True
812,False,True,False,False,False,False
813,False,False,True,False,False,False
814,False,False,True,False,False,False
815,False,True,False,False,False,False
816,False,True,False,False,False,True
817,True,True,False,False,True,False
818,False,False,False,False,True,False
819,False,False,False,False,True,False
820,False,False,False,False,True,False
821,False,False,False,False,False,True
822,False,False,False,False,False,False
823,False,False,False,False,False,False
824,False,True,False,False,False,False
825,False,False,False,False,False,False
826,False,False,False,True,False,False
827,False,False,False,True,False,True
828,False,False,False,True,False,True
829,False,True,False,False,False,False
830,False,False,True,False,False,True
831,False,True,False,False,False,False
832,False,True,False,False,False,False
833,False,False,True,False,False,True
834,False,False,True,False,False,True
835,False,False,True,False,False,False
836,False,True,False,False,False,True
837,False,True,False,False,False,False
838,False,False,True,False,False,True
839,False,True,False,False,False,False
840,False,True,False,False,False,True
841,False,False,True,False,False,False
842,False,True,False,False,False,True
843,False,True,False,False,False,False
844,False,True,False,False,False,False
845,False,True,False,False,False,False
846,False,False,True,False,False,False
847,False,True,False,False,False,False
848,False,True,False,False,False,True
849,False,False,True,False,False,False
850,False,True,False,False,False,True
851,False,False,True,False,False,True
852,False,True,False,False,False,False
853,False,True,False,False,False,False
854,False,True,False,False,False,True
855,False,False,True,False,False,False
856,False,True,False,False,False,False
857,False,False,True,False,False,False
858,False,True,False,False,False,False
859,False,False,True,False,False,False
860,False,True,False,False,False,True
861,True,True,False,False,True,False
862,False,False,False,False,True,True
863,False,False,False,False,True,False
864,False,False,False,True,True,True
865,False,False,False,False,True,False
866,False,False,False,False,False,True
867,False,False,False,False,False,True
868,False,True,False,False,False,False
869,False,False,False,False,False,False
870,False,False,False,False,False,True
871,False,False,False,False,False,False
872,False,False,False,False,False,True
873,False,False,False,False,False,False
874,False,False,False,False,False,False
875,False,False,False,False,False,False
876,False,False,False,False,False,True
877,False,False,False,True,False,False
878,False,False,False,False,False,True
879,False,False,True,False,False,False
880,False,False,False,False,False,False
881,False,False,False,False,False,False
882,False,False,False,False,False,False
883,False,False,False,True,False,False
884,False,False,False,False,False,True
885,False,False,False,False,False,False
886,False,False,False,False,False,False
887,False,False,False,False,False,False
888,False,False,False,False,False,True
889,False,False,False,False,False,False
890,False,False,True,False,False,False
891,False,False,True,False,False,True
892,False,False,False,False,False,True
893,False,False,False,False,False,False
894,False,False,False,False,False,False
895,False,False,False,False,False,False
896,True,True,False,False,True,False
897,False,False,False,False,True,True
898,False,False,False,False,True,False
899,False,False,False,False,True,False
900,False,False,False,False,False,False
901,False,False,False,True,False,False
902,False,True,False,False,False,False
903,False,False,False,False,False,True
904,False,False,False,False,False,False
905,False,False,False,True,False,False
906,False,False,False,False,False,True
907,False,True,False,False,False,True
908,False,True,False,False,False,False
909,False,True,False,False,False,False
910,False,True,False,False,False,True
911,False,False,True,False,False,False
912,False,True,False,False,False,False
913,False,False,True,False,False,False
914,False,False,True,False,False,False
915,False,True,False,False,False,False
916,False,True,False,False,False,False
917,False,True,False,False,False,True
918,False,True,False,False,False,False
919,False,True,False,False,False,False
920,False,False,True,False,False,False
921,False,True,False,False,False,False
922,False,True,False,False,False,True
923,False,False,True,False,False,False
924,False,True,False,False,False,True
925,False,False,True,False,False,True
926,False,True,False,False,False,False
927,False,True,False,False,False,False
928,False,False,True,False,False,True
929,False,True,False,False,False,False
930,False,True,False,False,False,False
931,False,True,False,False,False,True
932,False,True,False,False,False,False
933,False,True,False,False,False,True
934,False,False,True,False,False,False
935,False,True,False,False,False,False
936,False,True,False,False,False,True
937,False,True,False,False,False,False
938,True,True,False,False,True,True
939,False,False,False,False,True,False
940,False,False,False,False,True,False
941,False,False,False,False,True,False
942,False,False,False,False,True,True
943,False,False,False,False,False,False
944,False,False,False,False,False,True
945,False,False,False,False,False,False
946,True,True,False,False,True,True
947,False,False,False,False,False,False
948,False,False,False,False,False,False
949,False,False,False,True,False,False
950,False,False,False,False,False,False
951,False,False,False,False,False,True
952,False,False,False,False,False,False
953,False,False,False,False,False,False
954,False,False,False,True,False,False
955,False,False,False,True,False,False
956,False,False,False,True,False,False
957,False,False,False,False,True,False
958,False,False,False,True,False,True
959,False,False,False,True,False,True
960,False,False,False,True,False,False
961,False,False,False,False,False,True
962,False,False,False,False,False,False
963,False,False,False,False,False,False
964,False,False,False,True,False,False
965,False,False,False,True,False,True
966,False,False,False,False,False,False
967,False,False,False,True,False,False
968,False,False,False,False,True,True
969,False,False,False,True,False,True
970,False,False,False,True,False,True
971,True,True,False,False,True,True
972,False,False,False,False,True,False
973,False,False,False,False,True,False
974,False,False,False,False,True,False
975,False,False,False,False,True,True
976,False,False,False,False,False,False
977,False,False,False,True,False,False
978,False,False,False,False,False,True
979,False,False,False,False,True,False
980,False,False,False,False,False,True
981,False,False,False,True,False,False
982,False,False,True,False,False,False
983,False,True,False,False,False,True
984,False,False,True,False,False,False
985,False,True,False,False,False,False
986,False,False,True,False,False,False
987,False,True,False,False,False,False
