,goldDiff - TOP_-56to0,goldDiff - JG_-85to0,goldDiff - SUPP_-21to0,item0 - SUPPR_NoItem,item0 - SUPPB_NoItem,level - TOPB_0to3,level - SUPPR_0to2,level - JGB_0to3,level - MIDB_0to3,level - ADCB_0to2,level - SUPPB_0to2,level - TOPR_0to3,level - JGR_0to3,level - MIDR_0to3,level - ADCR_0to2,minute_0to4,xpDiff - MID_-11to18,wardsPlaced - TOPB
78,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
79,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
80,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
81,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
82,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
83,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
84,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
85,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
86,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False
87,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False
88,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True
89,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False
90,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
91,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
92,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
93,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
94,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
95,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
96,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
97,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
98,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
99,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
100,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
101,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
102,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
103,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
104,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
105,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
106,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
107,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
108,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
109,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
110,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
111,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
112,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
113,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
114,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
115,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
116,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
117,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
118,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
119,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
120,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True
121,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
122,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
123,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True
124,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
126,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
127,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
128,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
129,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
130,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
131,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
132,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
133,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
134,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
135,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
136,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
137,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
138,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
139,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
140,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
141,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
142,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
143,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
144,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
145,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
146,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
147,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
148,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
149,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
150,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
151,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
152,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
153,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
154,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
155,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
156,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
157,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
158,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
159,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
160,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
161,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
162,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
163,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
164,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
165,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
166,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
167,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
168,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
169,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
170,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
171,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False
172,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True
173,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
174,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
175,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
176,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
177,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
178,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
179,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
180,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
181,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
182,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
183,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
184,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
185,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
186,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
187,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
188,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
189,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
190,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
191,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
192,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
193,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
194,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
195,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
196,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
197,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
198,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
199,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False
200,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False
201,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False
202,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
203,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False
204,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
205,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
206,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
207,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
208,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
209,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
210,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
211,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
212,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
213,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
214,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
215,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
216,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
217,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
218,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
219,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
220,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
221,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
222,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
223,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
224,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
225,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
226,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
227,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
228,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
229,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False
230,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True
231,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
232,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
233,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
234,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
235,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
236,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
237,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
238,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
239,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
240,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
241,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
242,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
243,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
244,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
245,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
246,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
247,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
248,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
249,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
250,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
251,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
252,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
253,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
254,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
255,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
256,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
257,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
258,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
259,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
260,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
261,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
262,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
263,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
264,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
266,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
267,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
268,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
269,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
270,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
271,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
272,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
273,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
274,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
275,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
276,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
277,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
278,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
279,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
280,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
281,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
282,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
283,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
284,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
285,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False
286,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False
287,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False
288,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
289,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
290,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
291,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
292,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
293,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
294,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
295,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
296,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
297,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
298,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
299,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
300,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
301,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
302,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
303,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
304,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
305,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
306,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
307,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
308,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
309,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
310,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
311,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
313,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
314,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
315,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
316,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
317,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
318,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
319,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
320,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
321,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
322,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
323,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
324,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
325,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
326,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False
327,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
328,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False
329,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
330,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
331,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
332,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
334,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
335,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
336,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
337,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
338,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
339,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
340,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
341,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
342,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
343,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
344,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
345,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
346,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
347,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False
348,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
349,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
350,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
351,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
352,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
353,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
354,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
355,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
